УНП|логин без @beltel.by|Название организации|Выделенный статический айпи адрес|контактный телефон отвественного специалиста|контактный емаил|номер профиля фильтрации 1-9|
601057770|179500108780201|Управление по образованию Слуцкого райисполкома||+3751795755521||7|
700081685|223200101330004|Отдел внутренних дел Белыничского районного исполнительного комитета||0223271816||7|
700081685|223200101330004|Отдел внутренних дел Белыничского районного исполнительного комитета||0223271816||9|
100557355|170400200900008|Комитет по труду,занятости и социальной защите Мингорисполкома||+375173971773||7|
200181941|165000471500003|ОАО ''СЕВЕР-ПИНСК''||+375165330404||2|
790118757|223500134540001|Коммунальное унитарное дочернее предприятие "Управление капитальным строительством Осиповичского района"||+375293488315||7|
600574109|177600128230009|Филиал "Дорожно-эксплуатационное управление №69" республиканского унитарного предприятия автомобильных дорог "Минскавтодор-Центр"||+375292601512||2|
401166248|230002661390001|Отдел спорта и туризма Гомельского районного исполнительного комитета||+375296811981||7|
601057796|179500114420033|ОТДЕЛ ИДЕОЛОГИЧЕСКОЙ РАБОТЫ , КУЛЬТУРЫ И ПО ДЕЛАМ МОЛОДЕЖИ СЛУЦКОГО РАЙОННОГО ИСПОЛНИТЕЛЬНОГО КОМИТЕТА|178.124.170.164|+375293356402||7|
601057796|179500114420038|ОТДЕЛ ИДЕОЛОГИЧЕСКОЙ РАБОТЫ , КУЛЬТУРЫ И ПО ДЕЛАМ МОЛОДЕЖИ СЛУЦКОГО РАЙОННОГО ИСПОЛНИТЕЛЬНОГО КОМИТЕТА||+375293356402||7|
400019789|2342-0000113-08|Учреждение "Редакция Светлогорской газеты "Светлагорскiя навiны"|178.124.145.242||svetl_news@cmi.by|7|
601057770|179500108780221|Управление по образованию Слуцкого райисполкома||+3751795755521||7|
701225448|2250001195316|ОТДЕЛ ОБРАЗОВАНИЯ ,СПОРТА И ТУРИЗМА БОБРУЙСКОГО РАЙИСПОЛКОМА||375712747||7|
500835945|1515001338901|ФИЛИАЛ АВТОБУСНЫЙ ПАРК №4 Г.ВОЛКОВЫСК|178.124.203.215|3750151532158||2|
500835945|1515001338901|ФИЛИАЛ АВТОБУСНЫЙ ПАРК №4 Г.ВОЛКОВЫСК|178.124.203.215|3750151532158||7|
500835945|1515001338901|ФИЛИАЛ АВТОБУСНЫЙ ПАРК №4 Г.ВОЛКОВЫСК|178.124.203.215|3750151532158||8|
700008657|2201002014102|Могилёвская таможня|082.209.223.168|375310724||9|
400004147|2342001099301|Департамент охраны МВД Республики Беларусь||3750234220249|gomel.svetl@ohrana.gov.by|7|
600028044|1742002603901|ПМК-10 ОАО "СОЛИГОРСКВОДСТРОЙ"|086.057.209.191|80174296355|Kpdom@tut.by|7|
200073416|1652001014001|КУМПП ЖКХ "ИВАНОВСКОЕ ЖКХ"|178.124.159.126|3750165224365||7|
200209359|1650001585205|ОАО "СТРОИТЕЛЬНЫЙ ТРЕСТ №2" ФИЛИАЛ "СУ №138"|082.209.194.123|80165348439|mppm@tut.by|2|
490653245|2300003973801|ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ''ГОССТРОЙЭКСПЕРТИЗА ПО ГОМЕЛЬСКОЙ ОБЛАСТИ'' (ФИЛИАЛ)||375340515|buh@gomel.gse.by|7|
391207983|2136001003704|Унитарное предприятие "Толочинский Элеватор-Агро"||3750213633247||2|
600025402|1796001004601|ГЛХУ КРУПСКИЙ ЛЕСХОЗ|178.124.192.145|37557678|kr-les@mail.ru|2|
100071593|1704003840603|РУП ''МИНСКЭНЕРГО'' Минская ТЭЦ 4||3750172789388||2|
300002296|2100-0000987-08|КУП "Витебскжилпроект"|093.084.103.060||info@vjp.by|7|
300028576|2136001005605|ОТДЕЛ ОБРАЗОВАНИЯ ТОЛОЧИНСКОГО РАЙИСПОЛКОМА||3750213631109||7|
190604904|2160001172813|Республиканское унитарное предприятие по оказанию||3750172945377||7|
600091213|1773001115202|УО ''Молодечненский государственный медицинский ко|086.057.138.161|3750177354492|mmu@tut.by|7|
200077914|1651001029213|Отдел образования Малоритского райисполкома||3750165141144||7|
300012655|2153001134802|КУП БРАСЛАВСКИЙ РКБО||3750215321207||2|
500026430|1594-0000268-08|Вороновское  РУП ЖКХ|||vrnjkh@yandex.by|7|
600013676|1715001284701|Государственное учреждение "Березинская районная ветеринарная станция"|178.124.196.207|3750171555537|berezinovet@tut.by|7|
500029284|1512-0001541-08|ОАО "Волковыскспецатотранс"||||7|
600537220|1705001989502|Главное  управление Министерства финансов Республи|178.124.208.083|3750172169569||7|
600066447|1773002315902|Производственное республиканское унитарное предприятие "Молодечненский завод порошковой металлургии"|178.124.169.193|3750176732492||7|
600038947|1775001101603|КУП ''ЖОДИНСКИЙ ВОДОКАНАЛ''|082.209.236.134|3750177571092||7|
401159337|2351001637201|Государственное учреждение образования "СОШ №6||3750235169393|mozsh6@mozyrroo.by|2|
401159337|2351001637201|Государственное учреждение образования "СОШ №6||3750235169393|mozsh6@mozyrroo.by|5|
401159337|2351001637201|Государственное учреждение образования "СОШ №6||3750235169393|mozsh6@mozyrroo.by|7|
790382765|2250002697402|УЧРЕЖДЕНИЕ 'ФИЗКУЛЬТУРНО-СПОРТИВНЫЙ КЛУБ  БОБРУЙСК||3750225524507||7|
200168281|1630001253201|ОТДЕЛ КУЛЬТУРЫ ГОРИСПОЛКОМА||3750163412518||7|
500149773|1515001330201|ЛУННЕНСКИЙ СЕЛЬСКИЙ ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ||3750151528144|ts.b_mosty@mail.ru|7|
101202291|1703-0001934-08|ГТЗУ "Национальный академический Большой театр РБ"|||teatr-opera@kultura.by|7|
600041426|1772001242730|ОТДЕЛ ИДЕОЛОГИЧЕСКОЙ РАБОТЫ, КУЛЬТУРЫ И ПО ДЕЛАМ МОЛОДЕЖИ ВОЛОЖИНСКОГО РИК||375177239187||7|
300085828|2155001476302|Государственное учреждение "Дуниловичский социальный пансионат "Троицкий"|178.124.204.191|3750215559913||2|
701225371|2231001022445|Отдел  по образованию Быховского районного исполнительного комитета||+375223171862||2|
500063069|1592-0000521-08|КУДП "Управление капитального строительства Сморгонского района"||375159238801|admin@smuks.by|7|
300979726|2101-0000139-08|Филиал Витебское ДРСУ №144 КУП Витебскобдорстрой||||7|
300008503|2133001070902|Чашникский районный исполнительный комитет||3750213342245||7|
200242550|1643001010014|Отдел образования Березовского РИК||||7|
600199462|1772001036506|РУП ''МИНСКОЕ ОБЛАСТНОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ И ЗЕМЕЛЬНОМУ КАДАСТРУ' МОЛОДЕЧНЕНСКИЙ ФИЛИАЛ|086.057.222.016|3750177154200|d630@nca.by|7|
600052294|1701001157001|Ждановичская специальная общеобразовательная школа-интернат||3755099344|info@zhd-i.edu.by|2|
200056212|1631001016810|ГПУ''НАЦИОНАЛЬНЫЙ ПАРК''БЕЛОВЕЖСКАЯ ПУЩА''||3750163156399||7|
600041426|1772001242727|ОТДЕЛ ИДЕОЛОГИЧЕСКОЙ РАБОТЫ, КУЛЬТУРЫ И ПО ДЕЛАМ МОЛОДЕЖИ ВОЛОЖИНСКОГО РИК||375177255387||7|
300438753|2136001008906|ГОСУД.ТОЛОЧИНСКОЕ СТРОИТ.-ЭКСПЛУАТ.ПРЕДПР.МЕЛИОР.И||80213632659|tolochin.pms@tut.by|7|
200076124|1652001009309|Отдел образования Ивановского райисполкома||3750165223852||8|
600022181|1717001177302|ОАО "Столбцовский райагросервис"||3750171746670||7|
